url,equipo,valor_mercado,liga,ataque,tecnica,velocidad,defensa,creatividad,partidos,valoracion_media
"https://www.sofascore.com/football/player/matteo-di-giusto/993127
",FC Winterthur,1.2M €,Swiss Super League,58,54,31,30,57,38 Appearances,7.03
"https://www.sofascore.com/football/player/henrich-ravas/909930
",Cracovia,575K €,Ekstraklasa,50,35,36,49,49,23 Appearances,6.85
"https://www.sofascore.com/football/player/larsen-mads/910130
",Silkeborg IF,810K €,Danish Superliga,48,50,38,41,49,33 Appearances,6.92
"https://www.sofascore.com/football/player/argyris-kampetsis/876644
",Karmiotissa Polemidion,195K €,Cyprus League by Stoiximan,,,,,,12 Appearances,6.58
"https://www.sofascore.com/football/player/hugo-guillamon/855830
",Valencia,2.6M €,LaLiga,46,44,65,59,52,11 Appearances,6.63
"https://www.sofascore.com/football/player/armando-obispo/825838
",PSV Eindhoven,2.8M €,Eredivisie,,,,,,12 Appearances,6.75
"https://www.sofascore.com/football/player/danylo-beskorovaynyi/912220
",Polissya Zhytomyr,630K €,Ukrainian Premier League,,,,,,,
"https://www.sofascore.com/football/player/hanstad-jacob/1139578
",Fredrikstad FK,325K €,Eliteserien,61,74,42,32,50,15 Appearances,7.26
"https://www.sofascore.com/football/player/luis-da-silva/920676
",Widzew Łódź,315K €,Ekstraklasa,35,42,38,54,39,18 Appearances,6.65
"https://www.sofascore.com/football/player/sasa-lukic/371222
",Fulham,13.2M €,Premier League,52,52,53,53,57,30 Appearances,6.88
"https://www.sofascore.com/football/player/ruben-fernandes/59751
",Gil Vicente,49K €,Liga Portugal Betclic,36,47,56,64,44,28 Appearances,6.93
"https://www.sofascore.com/football/player/patrick-olsen/135255
",FC Dinamo București,770K €,Romanian Super Liga,49,52,47,53,50,28 Appearances,7.11
"https://www.sofascore.com/football/player/elis-bishesari/1149097
",IFK Göteborg,1.9M €,Allsvenskan,,,,,,10 Appearances,6.82
"https://www.sofascore.com/football/player/chibuike-nwaiwu/1481134
",Wolfsberger AC,6.4M €,Austrian Bundesliga,42,53,64,78,42,25 Appearances,7.28
"https://www.sofascore.com/football/player/gisli-eyjolfsson/842537
",Halmstads BK,220K €,Allsvenskan,50,51,34,36,49,29 Appearances,6.63
"https://www.sofascore.com/football/player/max-power/123805
",AGF,360K €,Danish Superliga,,,,,,12 Appearances,6.81
"https://www.sofascore.com/football/player/goncalo-borges/979221
",FC Porto,5.2M €,Liga Portugal Betclic,,,,,,24 Appearances,6.78
"https://www.sofascore.com/football/player/kone-amadou/1586875
",Stade Reims II,,National 3 Groupe I,48,47,53,60,49,26 Appearances,6.84
"https://www.sofascore.com/football/player/bako-samuel/1487802
",MTK Budapest FC II,,NB III Nyugat,,,,,,,
"https://www.sofascore.com/football/player/julien-devriendt/857141
",FCV Dender,195K €,Pro League,,,,,,,
"https://www.sofascore.com/football/player/sandal-sverre-hakami/1471766
",KFUM Oslo,320K €,Eliteserien,47,43,39,40,45,23 Appearances,6.66
"https://www.sofascore.com/football/player/dominik-plestil/879390
",Bohemians Praha 1905,240K €,Chance Liga,48,45,36,42,42,20 Appearances,6.60
"https://www.sofascore.com/football/player/metinho/1106148
",Basel,3.3M €,Swiss Super League,48,51,52,58,52,12 Appearances,6.94
"https://www.sofascore.com/football/player/yuriy-volodymyr-gereta/1086432
",Rukh Lviv,185K €,Ukrainian Premier League,,,,,,,
"https://www.sofascore.com/football/player/mattia-valoti/139397
",Cremonese,930K €,Serie B,57,55,44,38,51,15 Appearances,6.75
"https://www.sofascore.com/football/player/lukas-havel/583986
",FK Teplice,145K €,Chance Liga,,,,,,,
"https://www.sofascore.com/football/player/oliver-mcburnie/367228
",Las Palmas,2.7M €,LaLiga,71,55,54,22,58,33 Appearances,6.87
"https://www.sofascore.com/football/player/matthew-steenvoorden/196094
",HNK Gorica,310K €,HNL,33,42,52,61,42,15 Appearances,6.74
"https://www.sofascore.com/football/player/stefan-obradovic/1393480
",OFK Beograd,635K €,Mozzart Bet Superliga,33,42,56,70,34,16 Appearances,6.71
"https://www.sofascore.com/football/player/ryan-trevitt/1177007
",Brentford,290K €,Premier League,50,45,41,44,50,11 Appearances,6.82
"https://www.sofascore.com/football/player/mitch-apau/74489
",SC Telstar,105K €,Eredivisie,33,41,50,62,36,38 Appearances,6.81
"https://www.sofascore.com/football/player/william-carvalho/137978
",Real Betis,1.4M €,LaLiga,52,59,52,54,59,14 Appearances,6.76
"https://www.sofascore.com/football/player/shalev-saadia/1545337
",Maccabi Tel Aviv,,Israeli Premier League,,,,,,,
"https://www.sofascore.com/football/player/quentin-boisgard/827386
",Apollon Limassol,570K €,Cyprus League by Stoiximan,50,59,36,41,49,29 Appearances,6.90
"https://www.sofascore.com/football/player/arda-guler/1091116
",Real Madrid,43M €,LaLiga,75,77,62,41,82,28 Appearances,7.35
"https://www.sofascore.com/football/player/gentian-lajqi/1563726
",Malmö FF,,Allsvenskan,,,,,,,
"https://www.sofascore.com/football/player/jude-bonnar/1403160
",Celtic B U21,,Lowland League,,,,,,,
"https://www.sofascore.com/football/player/zarko-udovicic/795938
",FK Mladost Lučani,48K €,Mozzart Bet Superliga,45,52,37,51,49,30 Appearances,6.77
"https://www.sofascore.com/football/player/samuel-chukwueze/822470
",Milan,10.3M €,Serie A,67,66,45,35,69,24 Appearances,7.05
"https://www.sofascore.com/football/player/ante-rebic/152769
",Lecce,1M €,Serie A,63,51,26,21,59,25 Appearances,6.67
"https://www.sofascore.com/football/player/martin-vantruba/841973
",FC Spartak Trnava,115K €,Niké Liga,,,,,,,
"https://www.sofascore.com/football/player/gambor-hugo/1082541
",KAA Gent,970K €,Pro League,38,52,53,71,42,18 Appearances,6.87
"https://www.sofascore.com/football/player/nono/119198
",MKS Korona Kielce,210K €,Ekstraklasa,50,49,39,41,53,15 Appearances,6.95
"https://www.sofascore.com/football/player/daniel-denoon/1922473
",FC Zürich,455K €,Swiss Super League,,,,,,13 Appearances,6.43
"https://www.sofascore.com/football/player/persson-carl-lundahl/1485709
",Östers IF,110K €,Allsvenskan,,,,,,,
"https://www.sofascore.com/football/player/silas-nwankwo/1024101
",Mjällby AIF,315K €,Allsvenskan,,,,,,,
"https://www.sofascore.com/football/player/weverson/905452
",FC Arouca,1.4M €,Liga Portugal Betclic,41,49,44,63,49,26 Appearances,6.91
"https://www.sofascore.com/football/player/alex-suarez/914848
",Las Palmas,900K €,LaLiga,35,41,59,66,37,30 Appearances,6.70
"https://www.sofascore.com/football/player/szymon-krolak/2179405
",Cracovia,,Ekstraklasa,,,,,,,
"https://www.sofascore.com/football/player/miralem-pjanic/27678
",CSKA Moscow,2.1M €,Russian Premier League,55,60,49,44,66,16 Appearances,7.02
"https://www.sofascore.com/football/player/lazar-stojanovic/1801667
",FK Radnik Surdulica,77K €,Mozzart Bet Prva Liga,56,64,26,30,48,19 Appearances,6.89
"https://www.sofascore.com/football/player/eirik-wichne/794371
",Sarpsborg 08,390K €,Eliteserien,44,54,40,54,53,27 Appearances,6.96
"https://www.sofascore.com/football/player/jota-silva/1011895
",Nottingham Forest,16.1M €,Premier League,72,51,47,31,59,30 Appearances,6.81
"https://www.sofascore.com/football/player/kerem-akturkoglu/903324
",Benfica,25M €,Liga Portugal Betclic,71,58,48,33,67,30 Appearances,7.20
"https://www.sofascore.com/football/player/enzo-barrenechea/1087316
",Valencia,9.2M €,LaLiga,53,53,61,59,58,30 Appearances,6.96
"https://www.sofascore.com/football/player/sergey-gribov/1798021
",Akron Togliatti,270K €,Russian Premier League,,,,,,,
"https://www.sofascore.com/football/player/josafat-mendes/1133258
",Basel,3.9M €,Swiss Super League,40,46,48,63,50,29 Appearances,6.94
"https://www.sofascore.com/football/player/marcelo-alves/1016660
",FC Sochi,680K €,Russian Premier League,,,,,,,
"https://www.sofascore.com/football/player/jonathan-bolingi/827207
",FK Vojvodina,54K €,Mozzart Bet Superliga,,,,,,,
