url,equipo,valor_mercado,ataque,tecnica,velocidad,defensa,creatividad,liga,partidos,valoracion_media
https://www.sofascore.com/football/player/lyes-houri/280461,Universitatea Craiova,840K €,51,56,32,39,52,Romanian Super Liga,32 Appearances,7.02
https://www.sofascore.com/football/player/youssef-el-arabi/45512,APOEL Nicosia,140K €,66,61,44,30,47,Cyprus League by Stoiximan,30 Appearances,7.02
https://www.sofascore.com/football/player/bayeye-brian/1001725,FK Radnički Niš,420K €,,,,,,Mozzart Bet Superliga,,
https://www.sofascore.com/football/player/christos-sielis/892416,Panetolikos,660K €,32,40,53,67,34,Stoiximan Super League,28 Appearances,6.86
https://www.sofascore.com/football/player/moses-simon/330051,Nantes,13.1M €,72,61,37,23,72,Ligue 1,32 Appearances,7.03
https://www.sofascore.com/football/player/reinildo-mandava/831424,Atlético Madrid,5.2M €,35,38,44,66,36,LaLiga,19 Appearances,6.72
https://www.sofascore.com/football/player/karanatsios-christos/1162099,APOEL Nicosia,105K €,,,,,,Cyprus League by Stoiximan,,
https://www.sofascore.com/football/player/carlos-dominguez/1069703,Celta Vigo,2.4M €,37,44,60,77,38,LaLiga,16 Appearances,6.95
https://www.sofascore.com/football/player/jasper-silva-torkildsen/1126192,Haugesund,415K €,,,,,,Eliteserien,,
https://www.sofascore.com/football/player/anatoli-makarov/1024231,FC Sochi,215K €,,,,,,Russian Premier League,,
https://www.sofascore.com/football/player/kevin-andrade/983232,Baltika Kaliningrad,1.3M €,37,50,52,69,43,First League,,
https://www.sofascore.com/football/player/alexej-maros/1473118,ŠK Slovan Bratislava B U21,68K €,,,,,,Slovakia League Two,,
https://www.sofascore.com/football/player/yvandro-borges-sanches/1123613,Borussia M'gladbach,470K €,,,,,,Bundesliga,,
https://www.sofascore.com/football/player/michele-di-gregorio/844609,Juventus,17.2M €,86,61,80,84,74,Serie A,33 Appearances,7.02
https://www.sofascore.com/football/player/bard-finne/181893,SK Brann,1M €,64,50,42,31,47,Eliteserien,26 Appearances,6.93
https://www.sofascore.com/football/player/leonardo-lopes/783478,KAA Gent,3.7M €,49,49,56,53,52,Pro League,17 Appearances,6.87
https://www.sofascore.com/football/player/aaron-ramsey/1000142,Burnley,11M €,,,,,,Championship,,
https://www.sofascore.com/football/player/gabriel-martinez/1134430,Sporting Braga,4.1M €,54,46,37,40,54,Liga Portugal Betclic,30 Appearances,6.88
https://www.sofascore.com/football/player/joel-andersson/791954,FC Midtjylland,1.4M €,45,53,48,55,59,Danish Superliga,24 Appearances,6.87
https://www.sofascore.com/football/player/tiago-silva/252095,Vitória SC,3.1M €,61,66,58,50,70,Liga Portugal Betclic,30 Appearances,7.38
https://www.sofascore.com/football/player/alberto-baio/1160957,Juventus,9.3M €,,,,,,Serie A,9 Appearances,7.10
https://www.sofascore.com/football/player/tolf-noah/1650626,IFK Göteborg,,,,,,,Allsvenskan,12 Appearances,7.16
https://www.sofascore.com/football/player/mees-hilgers/1014288,FC Twente,6.9M €,34,39,53,62,34,Eredivisie,26 Appearances,6.68
https://www.sofascore.com/football/player/bergquist-lukas/1383507,Östers IF,440K €,43,56,42,50,49,Allsvenskan,15 Appearances,7.04
https://www.sofascore.com/football/player/marquinhos/155995,Paris Saint-Germain,34M €,38,53,73,79,50,Ligue 1,22 Appearances,7.28
https://www.sofascore.com/football/player/alex-blanco/807119,NK Olimpija Ljubljana,380K €,52,62,36,40,45,PrvaLiga,23 Appearances,6.86
https://www.sofascore.com/football/player/jakub-fulnek/564088,Mladá Boleslav,205K €,41,41,31,51,40,Chance Liga,21 Appearances,6.64
https://www.sofascore.com/football/player/yassir-rahmouni/2180363,Go Ahead Eagles,,,,,,,Eredivisie,,
https://www.sofascore.com/football/player/muhammed-sengezer/827418,Başakşehir FK,2.1M €,68,41,55,72,65,Trendyol Süper Lig,34 Appearances,7.05
https://www.sofascore.com/football/player/rodes-nathan/882003,FCV Dender,1.5M €,49,52,44,53,49,Pro League,40 Appearances,6.90
https://www.sofascore.com/football/player/alasana-badjie/2141937,IFK Värnamo,,,,,,,Allsvenskan,,
https://www.sofascore.com/football/player/roggerio-nyakossi/1129502,Oud-Heverlee Leuven,515K €,,,,,,Pro League,,
